Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
South America,Brazil,Clothing,Online,Medium,2024-02-09,1,2024-02-10,5319,768.12,527.19,4085630.28,2804123.61,1281506.67
Asia,South Korea,Clothing,Offline,Medium,2023-02-12,2,2023-02-14,14,924.58,569.14,12944.12,7967.96,4976.16
Asia,China,Cosmetics,Online,High,2025-09-04,3,2025-09-15,7938,107.91,69.04,856589.58,548039.52,308550.06
Oceania,Australia,Cosmetics,Offline,High,2026-02-25,4,2026-03-06,1826,268.98,150.98,491157.48,275689.48,215468.0
North America,Canada,Food,Online,Critical,2026-03-02,5,2026-03-06,1573,925.38,424.57,1455622.74,667848.61,787774.13
Asia,China,Furniture,Offline,High,2021-10-25,6,2021-11-05,770,515.39,298.74,396850.3,230029.8,166820.5
Asia,South Korea,Cosmetics,Offline,Critical,2022-10-30,7,2022-11-06,6425,769.25,370.63,4942431.25,2381297.75,2561133.5
South America,Brazil,Clothing,Online,Medium,2023-11-07,8,2023-11-08,9259,956.37,665.29,8855029.83,6159920.11,2695109.72
South America,Colombia,Clothing,Online,Medium,2024-04-19,9,2024-05-03,2647,829.14,632.89,2194733.58,1675259.83,519473.75
North America,Canada,Clothing,Offline,Medium,2024-03-16,10,2024-03-26,7287,327.61,237.69,2387294.07,1732047.03,655247.04
Asia,Singapore,Food,Online,Critical,2021-09-11,11,2021-09-24,7933,993.26,772.65,7879531.58,6129432.45,1750099.13
Europe,United Kingdom,Clothing,Offline,High,2026-03-18,12,2026-03-23,6023,283.5,206.8,1707520.5,1245556.4,461964.1
Europe,Spain,Electronics,Offline,Critical,2022-09-01,13,2022-09-14,6283,492.87,373.78,3096702.21,2348459.74,748242.47
North America,Canada,Furniture,Online,Critical,2025-12-04,14,2025-12-13,922,544.47,392.8,502001.34,362161.6,139839.74
Oceania,New Zealand,Cosmetics,Offline,Medium,2023-11-14,15,2023-11-17,7093,91.9,57.79,651846.7,409904.47,241942.23
South America,Chile,Cosmetics,Offline,High,2024-02-07,16,2024-02-10,9830,204.72,92.9,2012397.6,913207.0,1099190.6
North America,United States,Clothing,Offline,Medium,2024-11-26,17,2024-12-01,2126,472.93,269.64,1005449.18,573254.64,432194.54
North America,Mexico,Clothing,Offline,Medium,2022-12-21,18,2022-12-31,7926,386.55,228.45,3063795.3,1810694.7,1253100.6
Africa,South Africa,Office Supplies,Online,Medium,2025-10-04,19,2025-10-15,1434,53.73,35.4,77048.82,50763.6,26285.22
South America,Argentina,Cosmetics,Online,High,2025-02-20,20,2025-02-26,864,145.93,114.57,126083.52,98988.48,27095.04
North America,Canada,Electronics,Offline,Medium,2026-07-22,21,2026-07-27,2783,59.89,40.91,166673.87,113852.53,52821.34
Europe,United Kingdom,Cosmetics,Online,Critical,2023-04-25,22,2023-05-05,9747,71.06,55.21,692621.82,538131.87,154489.95
Oceania,Australia,Food,Offline,Low,2022-11-07,23,2022-11-16,8723,617.19,420.01,5383748.37,3663747.23,1720001.14
